nombre_evento,url_evento,codigo_postal,direccion,horario,organizacion,fecha_inicio,fecha_fin,hora_fecha_inicio,hora_fecha_fin
Alejandro Hurtado,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=05015eabfe374910VgnVCM2000001f4a900aRCRD,28017,CALLE SANTA FELICIDAD 39,19:00,Centro Cultural la Elipa (Ciudad Lineal),2025-02-28,2025-02-28,19:00:00.0,23:59:00.0
Alfabetización Digital para Personas Mayores. ¡Reconectados!,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=03236f16e4315910VgnVCM2000001f4a900aRCRD,28041,CALLE LOS BOHEMIOS 1,10:00,Centro Sociocultural Bohemios (Villaverde),2025-03-06,2025-03-06,10:00:00.0,23:59:00.0
Alimentación que beneficia al corazón,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=91bb33d971394910VgnVCM1000001d4a900aRCRD,28028,CALLE MAESTRO ALONSO 6,18:00,Centro Sociocultural Maestro Alonso (Salamanca),2025-02-28,2025-02-28,18:00:00.0,23:59:00.0
Amantes de las series,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=fab111c60bad4910VgnVCM2000001f4a900aRCRD,28045,PASEO CHOPERA 10,17:30,Espacio de Igualdad Juana Doña. Arganzuela,2025-02-19,2025-03-12,17:30:00.0,23:59:00.0
Amarga victoria,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=bb203bbfeae15910VgnVCM2000001f4a900aRCRD,28039,CALLE ALMANSA 9,18:30,Centro Sociocultural José de Espronceda (Tetuán),2025-03-05,2025-03-05,18:30:00.0,23:59:00.0
Amor y poesía,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=9a449b6c617b4910VgnVCM1000001d4a900aRCRD,28043,CALLE CARRIL DEL CONDE 57,19:00,Centro Cultural Carril del Conde (Hortaleza),2025-02-26,2025-02-26,19:00:00.0,23:59:00.0
"Ana Caro de Mallén, la querella de las mujeres en el siglo de oro",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c409a2c1cb315910VgnVCM1000001d4a900aRCRD,28031,CALLE MANUEL VELEZ 10,19:00,Centro Sociocultural Francisco Fatou (Villa de Vallecas),2025-03-10,2025-03-10,19:00:00.0,23:59:00.0
ANA MORALES + ANDRÉS MARÍN,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=0b1c52df5d253910VgnVCM1000001d4a900aRCRD,28045,PASEO CHOPERA 14,,Centro Danza Matadero - CDM,2025-04-03,2025-04-06,00:00:00.0,23:59:00.0
Anatomía de una pajarita - El efecto Galatea (Madrid) / Tras la puerta títeres (Asturias),http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ce1a619f4e884910VgnVCM2000001f4a900aRCRD,28009,AVENIDA MÉXICO 4,,Teatro Municipal de Títeres. Parque de El Retiro,2025-03-08,2025-03-09,00:00:00.0,23:59:00.0
Andrea Canepa «Wasi qaymi (Lugar y tacto)»,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=45f102a2fa0e1910VgnVCM1000001d4a900aRCRD,28015,CALLE CONDE DUQUE 9,,Centro de Cultura Contemporánea Conde Duque,2025-02-28,2025-05-18,00:00:00.0,23:59:00.0
Animación Pixelation en la Biblioteca Gerardo Diego,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=490e727228cb4910VgnVCM1000001d4a900aRCRD,28031,CALLE MONTE AYA 12,18:00,Biblioteca Pública Municipal Gerardo Diego (Villa de Vallecas),2025-04-09,2025-04-09,18:00:00.0,23:59:00.0
Animación Pixelation en la Biblioteca Gerardo Diego,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=8c28a8c219315910VgnVCM2000001f4a900aRCRD,28031,CALLE MONTE AYA 12,18:00,Biblioteca Pública Municipal Gerardo Diego (Villa de Vallecas),2025-04-09,2025-04-09,18:00:00.0,23:59:00.0
Animación Pixelation en la Biblioteca Portazgo,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3cfd727228cb4910VgnVCM1000001d4a900aRCRD,28038,CALLE CANTALAPIEDRA 11,18:00,Biblioteca Pública Municipal Portazgo (Puente de Vallecas),2025-04-02,2025-04-02,18:00:00.0,23:59:00.0
Animación Pixelation en la Biblioteca Portazgo,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=7078a8c219315910VgnVCM2000001f4a900aRCRD,28038,CALLE CANTALAPIEDRA 11,18:00,Biblioteca Pública Municipal Portazgo (Puente de Vallecas),2025-04-02,2025-04-02,18:00:00.0,23:59:00.0
Animación Stop Motion en la Biblioteca Aluche,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=6b5e727228cb4910VgnVCM1000001d4a900aRCRD,28047,CALLE CAMARENA 10,17:30,Biblioteca Pública Municipal Aluche (Latina),2025-03-20,2025-03-20,17:30:00.0,23:59:00.0
Animación Stop Motion en la Biblioteca San Fermín,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=965e727228cb4910VgnVCM1000001d4a900aRCRD,28041,AVENIDA SAN FERMIN 10,18:00,Biblioteca Pública Municipal San Fermín (Usera),2025-03-07,2025-03-07,18:00:00.0,23:59:00.0
Animalario en la Biblioteca San Fermín,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=843e727228cb4910VgnVCM1000001d4a900aRCRD,28041,AVENIDA SAN FERMIN 10,18:00,Biblioteca Pública Municipal San Fermín (Usera),2025-03-14,2025-03-14,18:00:00.0,23:59:00.0
Animalia,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=10c464926f415910VgnVCM1000001d4a900aRCRD,28045,PLAZA LEGAZPI 8,19:30,Cineteca Madrid,2025-03-25,2025-03-25,19:30:00.0,23:59:00.0
Apoyo a la autonomía,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1e67f7a45c701910VgnVCM1000001d4a900aRCRD,,,,,2024-09-13,2025-06-20,00:00:00.0,23:59:00.0
Aprende a buscar información en internet. Madrid Aula Digital,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=01fabdd836ef4910VgnVCM2000001f4a900aRCRD,28024,CALLE GRANJA DE TORREHERMOSA 1,10:00,Biblioteca Pública Municipal Ángel González (Latina),2025-04-28,2025-04-29,10:00:00.0,23:59:00.0
Aprende a identificar las mariposas de Madrid,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=94a868347f2f3910VgnVCM1000001d4a900aRCRD,28011,PARQUE CASA DE CAMPO (JUNTO AL EMBARCADERO DEL LAGO) ,11:00,Centro de Información y Educación Ambiental de Casa de Campo,2025-03-28,2025-03-28,11:00:00.0,23:59:00.0
Aprende a usar el metro,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=50939af1d11d4910VgnVCM2000001f4a900aRCRD,28041,CALLE GRAN AVENIDA 14,17:00,Espacio de Igualdad Berta Cáceres. Usera,2025-02-27,2025-02-27,17:00:00.0,23:59:00.0
Aprende a usar WhatsApp,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=59dcf7cdf1ef4910VgnVCM2000001f4a900aRCRD,28024,CALLE GRANJA DE TORREHERMOSA 1,10:00,Biblioteca Pública Municipal Ángel González (Latina),2025-03-17,2025-03-19,10:00:00.0,23:59:00.0
Árboles de El Retiro,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=68f69ea9aeb09810VgnVCM1000001d4a900aRCRD,28009,PASEO FERNAN NUÑEZ 2,11:00,Centro de Información y Educación Ambiental de El Huerto de El Retiro,2025-03-27,2025-03-27,11:00:00.0,23:59:00.0
Árboles notables del Vivero,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=859a2e8c67030910VgnVCM2000001f4a900aRCRD,28011,PARQUE CASA DE CAMPO (JUNTO AL EMBARCADERO DEL LAGO) ,10:00,Centro de Información y Educación Ambiental de Casa de Campo,2025-03-19,2025-03-19,10:00:00.0,23:59:00.0
Árboles singulares de la Casa de Campo,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f5a5099c7c2d8810VgnVCM2000001f4a900aRCRD,28011,PARQUE CASA DE CAMPO (JUNTO AL EMBARCADERO DEL LAGO) ,10:00,Centro de Información y Educación Ambiental de Casa de Campo,2025-03-16,2025-03-16,10:00:00.0,23:59:00.0
Arroyo Meaques,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=97ace667e88d8810VgnVCM1000001d4a900aRCRD,28011,PARQUE CASA DE CAMPO (JUNTO AL EMBARCADERO DEL LAGO) ,11:00,Centro de Información y Educación Ambiental de Casa de Campo,2025-03-30,2025-03-30,11:00:00.0,23:59:00.0
Artemisia. La magia de la luna,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=91dbd257d6d70910VgnVCM1000001d4a900aRCRD,28045,AVENIDA PLANETARIO 16,18:00,Planetario de Madrid,2024-07-16,2025-12-28,18:00:00.0,23:59:00.0
Artes en el Retiro,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=a949c0b0864b1810VgnVCM2000001f4a900aRCRD,28009,PASEO FERNAN NUÑEZ 2,11:00,Centro de Información y Educación Ambiental de El Huerto de El Retiro,2025-02-27,2025-02-27,11:00:00.0,23:59:00.0
Arteterapia. Grupo I,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=60faf4cbeb603910VgnVCM2000001f4a900aRCRD,28015,CALLE ANDRES MELLADO 44,17:30,Espacio de Igualdad María Zambrano. Chamberí,2025-02-03,2025-02-24,17:30:00.0,23:59:00.0
Arteterapia. Grupo II,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1a1bf4cbeb603910VgnVCM2000001f4a900aRCRD,28015,CALLE ANDRES MELLADO 44,17:30,Espacio de Igualdad María Zambrano. Chamberí,2025-02-06,2025-02-27,17:30:00.0,23:59:00.0
Artificios teatrales. La escena musical de los felices veinte,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=6ed5f65f96c83910VgnVCM1000001d4a900aRCRD,28015,CALLE AMANIEL 29,,Centro Cultural Clara del Rey - Museo ABC (Centro),2024-10-16,2025-03-08,00:00:00.0,23:59:00.0
ArTrics - Laboratorio de Creación 2024/25,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=7ae9c00a26e12910VgnVCM1000001d4a900aRCRD,,,,,2024-10-01,2025-07-31,00:00:00.0,23:59:00.0
Art÷IA: proyectos y herramientas IA para la creación artística,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=5b2366c6b4225910VgnVCM2000001f4a900aRCRD,28041,AVENIDA SAN FERMIN 10,18:00,Biblioteca Pública Municipal San Fermín (Usera),2025-03-07,2025-03-07,18:00:00.0,23:59:00.0
Asalto a la lectura. Tres cerditos y más,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=6aec3e3332fe4910VgnVCM1000001d4a900aRCRD,28015,CALLE AMANIEL 29,11:00,Centro Cultural Clara del Rey - Museo ABC (Centro),2025-03-01,2025-03-01,11:00:00.0,23:59:00.0
Asesoría Smartphone,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=6eb0f84b6b7a4910VgnVCM2000001f4a900aRCRD,28016,CALLE ENRIQUE JARDIEL PONCELA 8,13:00,Espacio de Igualdad Nieves Torres. Chamartín,2025-02-03,2025-02-24,13:00:00.0,23:59:00.0
Asociación Iroko Desarrollo forestal sostenible 'Gotas de ilusión',http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d7dba9500ffc4910VgnVCM2000001f4a900aRCRD,28042,CALLE BOTICA 7,,Centro Cultural - Centro Socio Cultural Villa de Barajas,2025-02-04,2025-02-26,00:00:00.0,23:59:00.0
Asombro,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=85b965d37f624910VgnVCM1000001d4a900aRCRD,28045,PLAZA LEGAZPI 8,,Matadero Madrid,2025-01-18,2025-03-23,00:00:00.0,23:59:00.0
Atlantiques + Dahomey,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3b9464926f415910VgnVCM1000001d4a900aRCRD,28045,PLAZA LEGAZPI 8,19:30,Cineteca Madrid,2025-03-01,2025-03-01,19:30:00.0,23:59:00.0
Aula de empleo: crea tu minisitio web profesional,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=0accc406a51b4910VgnVCM2000001f4a900aRCRD,28021,CALLE MARIA MARTINEZ OVIOL 12,10:30,Espacio de Igualdad Clara Campoamor. Villaverde,2025-02-24,2025-02-24,10:30:00.0,23:59:00.0
Aula de encuentros con la ciencia: impactos sociales y económicos de las energías renovables,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=2430157fd8e15910VgnVCM1000001d4a900aRCRD,28029,AVENIDA MONFORTE DE LEMOS 38,18:00,Biblioteca Pública Municipal José Saramago (Fuencarral-El Pardo),2025-04-08,2025-04-08,18:00:00.0,23:59:00.0
Aula encuentros con la ciencia: ¿es posible alimentar a 10.000 millones sin destruir el planeta?,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=9aa37d7dc3054910VgnVCM2000001f4a900aRCRD,28029,AVENIDA MONFORTE DE LEMOS 38,11:00,Biblioteca Pública Municipal José Saramago (Fuencarral-El Pardo),2025-03-13,2025-03-13,11:00:00.0,23:59:00.0
Autoconocimiento para el empleo a través de LEGO,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=6b23b5fb3abb4910VgnVCM2000001f4a900aRCRD,28043,CALLE MATAPOZUELOS 2,10:30,Espacio de Igualdad Carme Chacón. Hortaleza,2025-02-05,2025-02-26,10:30:00.0,23:59:00.0
Autocuidado a través del movimiento,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=994fcd687a503910VgnVCM1000001d4a900aRCRD,28047,CALLE MARCELINO CASTILLO 29,10:00,Espacio de Igualdad María de Maeztu. Latina,2025-02-06,2025-02-27,10:00:00.0,23:59:00.0
Autocuidado desde el movimiento. Espacio de Igualdad Emilia Pardo Bazán,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=0f43bbe3111c1910VgnVCM1000001d4a900aRCRD,28027,AVENIDA BADAJOZ 60,10:00,Espacio de Igualdad Emilia Pardo Bazán. Ciudad Lineal,2025-02-03,2025-02-24,10:00:00.0,23:59:00.0
Autodefensa feminista en el Espacio de Igualdad Lucrecia Pérez,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=a7ac4d44926ac810VgnVCM2000001f4a900aRCRD,28034,CALLE MANRESA 1,18:00,Espacio de Igualdad Lucrecia Pérez. Fuencarral-El Pardo,2025-02-11,2025-02-25,18:00:00.0,23:59:00.0
Autoestima y género I: construcción y bases,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c6f8e2ac055ac810VgnVCM1000001d4a900aRCRD,28021,CALLE MARIA MARTINEZ OVIOL 12,10:30,Espacio de Igualdad Clara Campoamor. Villaverde,2025-02-06,2025-02-27,10:30:00.0,23:59:00.0
Bach y Piazzolla,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=68ca8dca45bb4910VgnVCM1000001d4a900aRCRD,,,19:00,Centro Cultural Zazuar (Villa de Vallecas),2025-11-15,2025-11-15,19:00:00.0,23:59:00.0
Back to back Theatre 'The Shadow whose prey the hunter  becomes',http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=dd6302a2fa0e1910VgnVCM1000001d4a900aRCRD,28015,CALLE CONDE DUQUE 9,,Centro de Cultura Contemporánea Conde Duque,2025-05-09,2025-05-10,00:00:00.0,23:59:00.0
Bailando salsa,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=08982276696d1910VgnVCM1000001d4a900aRCRD,28015,CALLE ANDRES MELLADO 44,12:30,Espacio de Igualdad María Zambrano. Chamberí,2025-02-06,2025-02-27,12:30:00.0,23:59:00.0
